,claim,label
50,"VAERS reports show 410,000 Americans were killed by COVID-19 vaccines; the COVID-19 vaccine caused 41 times more deaths than reported",false
51,“vaccinated and boosted people were MORE likely to be hospitalized with the new Omicron variant than unvaccinated people”,misleading
52,Researchers from Yale University created a new delivery method for mRNA vaccines… through the air,misleading
53,“Leaky vaccines” are causing SARS-CoV-2 to evolve rapidly; COVID-19 vaccines don’t prevent disease and death; childhood vaccine safety is doubtful,misleading
54,A study showed a “weakened immune response in kids injected with Pfizer’s COVID-19 shot”; “The mRNA Covid jabs damage immune responses to other viruses in children”,false
55,Natural immunity persists for decades; Pregnant women aren’t at risk from COVID-19; DNA plasmids are in COVID-19 vaccines; no evidence that COVID-19 boosters are safe,misleading
56,"With the new BA.2.86 variant, “We’re in a situation where vaccination, according to the CDC, increases the likelihood of infection”",false
57,"The CDC “Remove[d] COVID Vaccine Adverse Event Reports”, “stopping the collection of public health information doesn’t have a clinical justification”",misleading
58,“Mask study published by NIH suggests N95 Covid masks may expose wearers to dangerous level of toxic compounds linked to seizures and cancer”,false
59,"Vitamin K shots are poisonous because they contain polysorbate 80 as “main active ingredient” that has “strong links with infertility, with autoimmune issues”",false
60,Higher COVID-19 vaccination rates in White people are related to higher COVID-19 death rates,misleading
61,“The FDA is now saying that it is OK to prescribe ivermectin [for COVID-19]”,misleading
62,Doctors murdered to protect Big Pharma profits and silence holistic health practitioners,false
63,“the Covid injections are not effective” because the large majority of deaths involving COVID-19 occurred among vaccinated individuals,misleading
64,“Moderna and Pfizer shots have a bovine protein in them that then creates an autoimmune response in those that take the shot so that many of them can no longer eat beef”,false
65,Blank COVID-19 vaccine safety inserts show there are no safety and effectiveness studies for these vaccines,false
66,“All these vaccines are causing harm to our kids”; “The fully unvaccinated kids are always healthier”; “vaccines are causing chronic disease in America”,false
67,VAERS data are “crystal clear”: “the COVID vaccines are killing people”,false
68,"“1 in 35 people showed signs of heart damage after taking the Moderna COVID19 vaccine”; it is a “kill shot”; taking “this kind of risk, it’s just complete madness”",misleading
69,COVID-19 RNA vaccines weren’t made with messenger RNA; vaccine RNA cannot be broken down in the body,false
70,“Dr Tedros doesn’t have his vaccination”,false
71,Pfizer documents confirm that mRNA COVID-19 vaccinations contain graphene oxide,false
72,Bill Gates and health agencies are staging a new pandemic specifically targeting children; it might already be here according to the WHO or the UK government,misleading
73,“Lancet Study on Covid Vaccine Autopsies Finds 74% Were Caused by Vaccine”,misleading
74,Vaccinated children are more likely to have poorer health outcomes compared to unvaccinated children,false
75,“Pfizer’s COVID Shot Was Only Tested on 250 People”,misleading
76,The increase in both the number of vaccines in the CDC schedule and in autism rates implies that vaccines cause autism,false
77,“New Study Links Pfizer’s COVID Vaccine to ‘Turbo Cancer’”,false
78,"Zero Amish Children Diagnosed with Cancer, Diabetes or Autism; Amish children are largely unvaccinated; Covid death rates among Amish communities are 90 times lower than for the rest of America",false
79,Cultivated meat is produced using “cancerous and pre-cancerous cells”,false
80,Bill Gates-funded company released genetically modified mosquitoes in the U.S. and caused a malaria outbreak,false
81,"Danish researchers show high rates of side effects from Pfizer COVID-19 vaccine, indicating problems with safety",misleading
82,"Thai princess “most likely a victim of the jab”, Thailand “could become the first country in the world to nullify the contract between the government and Pfizer”",false
83,“the number 1 indicator of parasites is actually an autoimmune condition”,false
84,“COVID-Vaccinated More Likely To Be Hospitalized”,misleading
85,DNA in COVID mRNA shots “may have the ability to alter the human genome”; “SV40 has been linked to cancer in humans”; “Regulatory Agencies Knew There Was a Contamination Problem”,misleading
86,"“There is a huge boom in cancer, especially in female breast cancer in the younger ages of 45 and below.”",false
87,"""The EMA admits COVID-19 vaccination causes infertility""",false
88,There are no FDA-approved COVID-19 vaccines on the U.S market as of May 2023,false
89,"“People Who Get More COVID Vaccines More Likely to Get the Virus, New Study Shows”",misleading
90,"“SARS is the research developed by humans, weaponizing a life system model to actually attack human beings”",false
91,“Jamie Foxx Left ‘Paralyzed and Blind’ From ‘Blood Clot in His Brain’ After Receiving COVID-19 Vaccine”,misleading
92,"COVID-19 is caused by snake venom, not a virus; snake venom is in the COVID-19 vaccines and causes miscarriage",false
93,“those who have been fully vaccinated for COVID-19 with mRNA shots will lose 25 years of their life”,false
94,“the mRNA jab didn’t actually save any lives”,misleading
95,Fenbendazole cures cancer,misleading
96,A study shows that “COVID vaccines could be causing ‘long-term brain damage’”,misleading
97,Rise in cancer after water fluoridation was introduced shows fluoride causes cancer; “Fluoride amounts to public murder on a grand scale”,misleading
98,Alzheimer’s disease is a “physician-caused disease” that arises due to nutritional deficiencies,false
99,Cancer and multiple sclerosis are caused by parasites; hydroxychloroquine and ivermectin can cure cancer,false
100,"“COVID Vaccines Were Never Safe for Pregnant Women, Pfizer’s own data show”",false
101,Sugar causes cancer; eliminating sugar from the diet can cure cancer,false
102,The spike protein induced by COVID-19 vaccines is toxic and causes diseases and deaths; nattokinase can counter these effects,false
103,"Intravenous hydrogen peroxide ""enables the body to cure itself of practically any disease""",false
104,"“Since the vaccine rolled out, [a midwife]’s seen no normal placenta […] they’re all compromised”",false
105,“As fluoride goes up [...] IQ goes down in the developing brains of our kids”,misleading
106,"“600,000 Americans Per Year Are Dying From COVID Shots Says Top Insurance Analyst”",misleading
107,Herpes is not a sexually transmitted disease; a commercially available plant product can cure herpes,false
108,Switzerland stops COVID-19 vaccines due to safety concerns,false
109,“U.S. biolabs in Ukraine” could be involved in “possible biological warfare”,misleading
110,“AstraZeneca’s COVID-19 Vaccine Tripled Deaths in Young Women”,misleading
111,COVID-19 vaccines caused “26.6 million Injuries” and “1.36 million Disabilities” in 2022 and cost the economy billions of dollars.,false
112,Poppers are the cause of Kaposi’s sarcoma,false
113,Carnivore diet produces “a 90% reduction in all diseases” and a reduction in insulin use by diabetics,misleading
114,"Excessive mucus causes bronchitis, arthritis, multiple sclerosis, psoriasis, and glaucoma",false
115,Pfizer admits that vaccinated people can shed the vaccine on unvaccinated people,false
116,COVID-19 vaccines increase the risk of miscarriages and stillbirths,false
117,COVID-19 vaccines are responsible for the rise in heart attacks in young people,misleading
118,"“clearly [COVID-19] vaccines are dangerous for kids”, they cause myocarditis; children are protected from COVID-19 by innate immunity which is bypassed by vaccination",false
119,“Dissolution of Spike Protein by Nattokinase: Holy Grail of COVID-19 Vaccine Detoxification”; long COVID is caused by persistent spike protein in the body,false
120,5G at 60 GHz “stops the human body and blood absorbing oxygen”; this is what doctors are describing in COVID-19 cases,false
121,“Alzheimer’s disease did not occur 40 years ago”; cholesterol-lowering drugs and diets cause Alzheimer’s,false
122,Mullein leaves and marshmallow roots treat COVID-19,misleading
123,Morgellons test using cranberry juice pulls out nanoparticles from chemtrails and air pollution,false
124,“A new study found that 92 percent of people with a high cholesterol level lived longer”,misleading
125,"“The more doses on average you have in a region within the United States, the bigger increase in mortality that region has had in 2022 when compared to 2021”",misleading
126,Vitamin B17 “was banned by the US because of its cancer-killing properties”,false
127,“Medicare data shows the COVID vaccines increase your risk of dying”,misleading
128,“huge peer review show[ed] vaccines may have caused tens of millions of serious new health problems worldwide”,false
129,"We were lied about “COVID-19 numbers”, treatments, natural immunity, and the origin of the virus; COVID-19 vaccines and control measures “didn’t work”",misleading
130,Cancer can be treated with baking soda,misleading
131,“natural immunity provides superior protection to experimental vaccines; “They lied and said Natural Immunity wasn’t better than [vaccine]-induced immunity”,misleading
132,"VAERS reports in Florida increased by 1,700% after COVID-19 vaccines became available, signaling safety concerns",misleading
133,“An increased risk of stroke events has been identified with the Pfizer COVID-19 bivalent vaccine”,misleading
134,"Face masks are ineffective at reducing the spread of COVID-19 and other respiratory diseases, a Cochrane review demonstrates",misleading
135,Moderna was already producing COVID-19 vaccines before the beginning of the pandemic,false
136,“PCR kits have never been about testing for COVID” [...] They’re cloning devices”,false
137,"COVID-19 mRNA vaccines don't work and are causing serious harm, including death",misleading
138,“most of the individuals who had been fully vaccinated would develop full-blown vaccine-induced acquired immunodeficiency syndrome by the end of the month”,false
139,COVID-19 vaccination is associated with all-cause excess mortality,misleading
140,"More than 200,000 people may have died due to the COVID-19 vaccine",misleading
141,EuroMOMO data shows excess deaths in people aged 0 to 14; excess deaths in Europe cannot be explained by COVID-19,misleading
142,"Sweetgum balls contain the same active ingredient that Tamiflu contains, which is shikimic acid; It kills viruses including SARS-CoV-2",false
143,“Secret CDC Report confirms nearly 120k Youngsters 'Died Suddenly' in the USA by Oct. 2022 following roll-out of COVID Vaccines”,false
144,Inhaling hydrogen peroxide kills respiratory tract pathogens,misleading
145,“Bill Gates Vows To Pump mRNA Into Food Supply To ‘Force-Jab’ the Unvaccinated”,false
146,The Pfizer COVID-19 bivalent vaccine causes strokes,misleading
147,"“Omicron subvariant XBB.1.5 possibly more likely to infect those who are vaccinated, officials say”",misleading
148,"“Cancer rates have increased since the introduction of the COVID-19 shots”, which “is driving down U.S. life expectancy”",misleading
149,More people are dying now than at the peak of the pandemic; the COVID-19 vaccines are the cause of the excess deaths seen in late 2022,false
150,COVID-19 vaccines are causing excess deaths around the world; sudden adult death syndrome is new,misleading
151,The tabletop exercise “Catastrophic Contagion” means that “Bill Gates and WHO have announced when we will see the next pandemic”,misleading
152,A study showed that the number of serious adverse vaccine events associated with COVID-19 vaccines is “too high”,misleading
153,Ivermectin is a safe and effective COVID-19 treatment,misleading
154,"Attali wrote “the future will be about finding a way to reduce the population”, elites will “find a real cause, a pandemic” after having “taken care of having panned the treatment”",false
155,Harry Hoxsey’s herbal therapy effectively cures cancer,misleading
156,"Turmeric, ketogenic diet, ozone therapy, megadoses of vitamin C and adaptogens are cures for cancer that have been suppressed for four decades",misleading
157,“Pfizer’s COVID-19 Vaccine Linked to Blood Clotting: FDA”,misleading
158,"Medical exemptions are unavailable even for people who “shouldn't get the [COVID-19] vaccine”, including those with a history of blood clotting or an adverse reaction to a prior vaccine",misleading
159,“Major New Autopsy Report Reveals Those Who Died Suddenly Were Likely Killed by the Covid Vaccine”,misleading
160,Vaccine effectiveness has fallen from 100% to 20%; the early reported vaccine effectiveness figures were lies,misleading
161,“‘Gold Standard’ Scientific Trial Deals Massive Blow to N95 and Surgical Masks as Way to ‘Stop Covid’”,false
162,"“The risk of myocarditis is 800 times higher for vaccinated than unvaccinated young adults, according to a recent Swiss study”",false
163,"COVID-19 vaccines are linked to abnormal blood clotting, sudden deaths, world depopulation",false
164,"“ALL vaccines, including the seasonal flu shot, contain parasites”, mRNA vaccines reduce the amount of anti-spike antibodies",false
165,Vaccines and vitamin K injections given to children are unsafe,false
166,"“As long as you take an Emergency Use [vaccine], you can’t sue them. Once they get approved, now you can sue them—unless they can get it recommended for children”",misleading
167,"Face masks cause hypercapnia and blood acidity, which might increase cancer risk",false
168,“HIV does not cause AIDS”,false
169,Death of 4 years old poster boy for vaccination campaign is linked to COVID-19 vaccine,misleading
170,Israeli study showed that COVID-19 doesn’t increase the risk of heart inflammation,misleading
171,Face masks contain a “cancer-causing compound”; “exposure to titanium dioxide ‘systematically exceeded the acceptable exposure level to TiO2 by inhalation’”,misleading
172,"“if a human is injected with a GMO it becomes a patented piece of property from the government”, “they take away all your rights with mRNAs”",false
173,More than 88% of ICU patients in Germany are vaccinated; the COVID-19 vaccines no longer protect against severe disease,misleading
174,"Phoebe Adele Gates is “unvaccinated, not even [for] childhood vaccines”.",misleading
175,Federal agencies already knew that hydroxychloroquine and chloroquine “were very likely to be effective against COVID-19” based on 2014 paper,misleading
176,According to Moderna themselves: Serious adverse events affected 1 in 200 toddlers. But they still concluded the mRNA vaccine was safe in children,misleading
177,"“Covid death rates are higher among Republicans than Democrats, mounting evidence shows”",true
178,“More people have been killed by the COVID vaccines in the last 20 months than all the other vaccines in the world over the last thirty years combined.”,misleading
179,“SARS-CoV-2 vaccination was associated with higher risk of myocarditis death [...]  risk of myocarditis following SARS-CoV-2 vaccination may be more serious than that reported previously”,misleading
180,COVID-19 vaccines are linked to an increase in abnormal blood clots observed by embalmers,misleading
181,“Quarter of U.S. covid deaths were probably preventable with vaccination”,true
182,“One in every 500 children under five years who received the Pfizer mRNA Covid vaccine were hospitalised with a vaccine injury”,false
183,"A study by Kaiser Permanente “shows negative efficacy of the shots against all variants within 150 days”; “the more you inject, the more you infect”",misleading
184,"“In COVID hearing, #Pfizer director admits: #vaccine was never tested on preventing transmission. ‘Get vaccinated for others’ was always a lie.”",misleading
185,"“Alzheimer’s most of the time is preventable. It’s not genetic, and it’s type 3 diabetes, which is insulin resistance of the brain”",misleading
186,"Florida study found that COVID-19 mRNA vaccines increase the risk of cardiac-related death, especially in men",misleading
187,Intravenous vitamin C specifically kills only cancer cells and not healthy cells,misleading
188,COVID-19 vaccines were “rushed into market”; VAERS shows an “unusual spike in vaccine adverse events”; unvaccinated people aren't a threat to vaccinated people,misleading
189,President Joe Biden told people to get vaccinated to protect themselves from hurricanes,misleading
190,mRNA COVID-19 vaccines might do more harm than good,misleading
191,“The third leading cause of death is MD-directed treatments”,misleading
192,“Potassium chloride actually causes cardiac arrest […] and we’re drinking it in Dasani water.”,misleading
193,"Solfeggio frequencies can regenerate the body, remove toxins, remove negativity",misleading
194,“Papaya seeds contain compounds that naturally kill parasites”,misleading
195,“Harvard Study Confirms: Fluoride Reduces Children’s IQ”,false
196,“The FDA hid the evidence that HCQ [hydroxychloroquine] was effective in the early treatment of the disease. Hundreds of thousands of people died as a result of this lie.”,misleading
197,“Covid-19 Vaccines 98 Times Worse Than the Virus”,false
198,“there is an international medical crisis due to the diseases and deaths co-related to the administration of products known as ‘COVID-19 vaccines’”,misleading
199,Denmark banned COVID-19 vaccines for anyone under 50,false
200,Embalmers find “strange clots” in corpses since the implementation of COVID-19 vaccines,misleading
201,"Cannabis can treat cancer, PTSD, seizures, anxiety, glaucoma, and depression",misleading
202,Consuming turpentine will kill parasites,misleading
203,"“Ivermectin reduces COVID death risk by 92%, peer-reviewed study finds”; NIH now lists ivermectin as COVID-19 therapy",misleading
204,“We allow toxic metals such as aluminum and mercury in shots”,false
205,mRNA vaccines cause “vascular and organ damage” that can lead to death,false
206,“Did you use toothpaste with fluoride today? It blocks your pineal gland. And they put children on it.”,misleading
207,“[T]he peak of vaccine mandates in America […] coincides with massive excess mortality among people in the prime of life”,misleading
208,“67% of the deaths are from the vaccinated”;  “67% of your COVID deaths that you’re creating are from your virus that you’re putting within these people”,false
209,“44 Percent of Pregnant Women in Pfizer Trial Lost Their Babies”,false
210,“New paper suggests Covid mRNA vaccination rates are linked to increases in overall deaths”,misleading
211,Cancer occurs when “your body is full of acidity”; alkalizing your body prevents cancer,false
212,CDC has now classified [monkeypox] as airborne and anybody within 15 ft can catch it; [it] is now classified as a form of herpes [...] lasts 2-4 months [and] can lead to being paralyzed,false
213,Excess folic acid from food causes ADHD; folic acid is a dangerous chemical in food,misleading
214,Lancet study showed that vaccinated people have lower immune function than unvaccinated people; COVID-19 vaccines suppress the immune system,false
215,Canadian data shows vaccinated people more likely to die from COVID-19; COVID-19 vaccines alter our DNA; hydroxychloroquine and ivermectin cure COVID-19,false
216,"“The herbs heal [...] not vitamin C, because the body is not composed of any vitamin C”",false
217,“Abortion is never medically necessary”,false
218,"Plants such as pennyroyal, blue and black cohosh or mugwort are an effective alternative abortion method",misleading
219,“Covid Vaccines More Likely to Put You in Hospital Than Keep You Out”,false
220,"“In America, you’re 6x more likely to be killed by a Doctor than a gun”",misleading
221,Ramsay Hunt syndrome that caused Justin Bieber’s facial paralysis is linked to the COVID-19 vaccine,misleading
222,COVID-19 vaccination is associated with the sudden death of young adults,misleading
223,“Countries with high levels of mask compliance did not perform better than those with low mask usage”; “Mask Mandates [are] Associated With Increased Covid Death Rate”,false
224,Food supplements get “perfect sugar levels restored” and “help with type 2 [diabetes]”,misleading
225,Babies of vaccinated mothers are dying in disproportionate numbers and the COVID-19 vaccines are responsible,false
226,Researchers from the Wuhan Institute of Virology (WIV) “assembled monkeypox strains”,false
227,A South African scientist made a “huge medical breakthrough” by successfully removing HIV from a sperm cell in a lab,misleading
228,“Wilhelm Reich invented a way to cure cancer”,misleading
229,Monkeypox is caused by COVID-19 vaccines; a 2021 tabletop exercise portraying a monkeypox pandemic is evidence that global leaders planned the outbreak; the monkeypox vaccine was “ready” before the outbreak,false
230,Exipure weight loss supplement is scientifically proven to be effective; BPS-5 supplement effectively reduces blood pressure,misleading
231,"“[Spike] is harmful to the human body in at least eight different ways [and] can persist in the human body for weeks, or even months, after a person gets vaccinated”",misleading
232,"Abortion increases the risk of breast cancer, mental illness, and preterm labor",misleading
233,Apple cider vinegar and thermogenic supplements are effective for rapid weight loss,misleading
234,Event 201 is evidence that officials already knew about COVID-19,misleading
235,“they were not able to find a single healthy child in america that died from COVID-19 […] but one in every 2700 people are getting myocarditis”; “athletes are collapsing on playing fields as for myocarditis and it's from the vaccines”; Moderna patent filed in 2019 is linked to the pandemic,misleading
236,U.S. deaths from COVID-19 hit 1 million,true
237,“You can see the strength of the immune system from looking at the eyes“,misleading
238,"mRNA COVID-19 vaccines accumulate in the ovaries, change menstrual cycles, and lead the immune system to mount “an immune response to their own placental protein”",false
239,"“the CGG CGG coding [...] does not appear in nature”, this and the furin cleavage site from the SARS-CoV-2 spike protein gene suggests the virus wasn't transmitted from animals to humans",false
240,The SARS-CoV-2 virus was engineered in a laboratory and deliberately released,misleading
241,"Certain medicines and compounds like folic acid “deplete folate, which is very serious for those with MTHFR”",false
242,COVID-19 vaccines cause fibrous clots in the lungs and blood vessels,misleading
243,"“HIV was an invention created by the West”, people “took the HIV medication and got HIV”, you can “reverse HIV naturally”",false
244,Cases of acute hepatitis in children are linked to COVID-19 vaccines,false
245,Squalene in vaccines caused Gulf War Syndrome; the World Health Organization aims to depopulate the world with sterility-causing vaccines,false
246,"Hormonal birth control is associated with “PCOS [polycystic ovarian syndrome], hormonal imbalances, depression, and infertility”",false
247,“Pfizer Knew About Immunosuppression”; “Fully Vaxxed Are More Likely to Die From COVID”,false
248,“turmeric prevents cancer”,misleading
249,“Toothpaste is poisonous”; “fluoride is a neurotoxin” and doesn’t prevent tooth decay,false
250,The SARS-CoV-2 infection rate is higher among vaccinated than unvaccinated in the UK,misleading
251,"“We have 21,000 cases of myocarditis and climbing. […] Under no circumstances, should a young person ever receive one of these vaccines”",misleading
252,"“Sunscreens cause cancer, not the sun”; sunscreen and sunless tanning products contain cancer-causing ingredients",false
253,“The menstrual cycle isn’t natural”,false
254,Fauci’s 2004 interview remarks about flu vaccine shows that natural immunity is best for COVID-19,misleading
255,“Remdesivir is proven to kill lives”,false
256,“If you don't have hepatitis B then your baby's not going to have hepatitis B”; “there's 16 times the amount of aluminum that the FDA says can poison a baby”,false
257,“We are allowing human organisms to become bioweapon factories”,false
258,The study by Rössner et al. “add[ed] further evidence for the usefulness of vaccines and their clear advantage over natural immunity”,mostly-true
259,“Oxygen kills cancer”; Otto Warburg won two Nobel Prizes for proving lack of oxygen is the cause of cancer,false
260,"A “baby’s immune system” cannot “safely handle 8 different antigens 💉 (toxins, bacteria, DNA) in 1 day”",false
261,"The CDC “removed tens of thousands of deaths linked to COVID-19, including nearly a quarter of deaths it had listed in those under 18 years old”",mostly-true
262,"Natural immunity protects better than vaccination; “the mortality risk of an un-boosted person under age 30 was zero”; cloth face masks, school closures had zero benefits for children and some harm",misleading
263,"TV personalities such as Shark Tank investors, Dr. Phil and Dr. Oz endorsed CBD gummies; CBD gummies have numerous health benefits",false
264,Safety surveillance data in the Pfizer’s document shows harmful effects of the Pfizer-BioNTech COVID-19 vaccine,misleading
265,There are U.S.-funded bioweapon labs in countries surrounding Russia; “Pentagon Funded Bio-Weapons Labs in the Ukraine”,misleading
266,“COVID Deaths Have Been Vastly Overcounted”,false
267,"“In other words, you're about 70 percent less likely to die if you take ivermectin compared to taking remdesivir”",misleading
268,"COVID-19 vaccine mRNA is converted to DNA and enters the cell’s nucleus, so the vaccines can potentially change our DNA",false
269,“scientists find virus contains tiny chunk of DNA that matches sequence patented by Moderna THREE YEARS before pandemic began”,misleading
